"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.24954214","17.49073742","20.92708722","24.44651183","28.41666243","31.84018306","38.70049248","42.30451021","45.5877498","51.5532587","52.21850635","55.96754976","60.11276091","60.0888133","57.24876048","","",
"Angola","AGO","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9630333","28.85424468","28.96136464","34.71829685","49.52671847","53.93070101","69.42469956","92.45201615","135.20830918","119.80861387","96.64370053","122.11780882","122.24294345","143.70320352","131.75187476","108.68066949","95.22079857","","",
"Albania","ALB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.53147245","81.94641716","89.85832912","113.58398221","151.98051698","165.86551184","172.7955964","216.41313473","239.68435059","206.94482008","203.20858851","246.80376019","246.74254556","277.6689966","313.26289683","264.43460271","271.54304258","","",
"Andorra","AND","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050.64751287","2081.27533006","2256.34907314","2774.08962738","3161.48240563","3536.12270618","3689.70570162","4094.54426932","4201.7295948","3911.89596278","3754.73134583","4013.91183436","3857.1611156","4107.73398353","4346.25874674","3698.11757428","3834.73058142","","",
"Arab World","ARB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.81229122604","118.070826411421","117.329378863002","114.175483031044","125.044566219486","138.998382475587","160.551847840182","188.530537872535","220.00916553576","243.813368618176","248.849933874157","283.700733700505","305.844503473237","338.855585064889","366.917830116847","344.574985131653","339.580122579259","","",
"United Arab Emirates","ARE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","781.81669142","771.68348816","850.95152585","879.39393443","890.30369949","915.08376784","985.32949968","1094.84966853","1340.03870655","1339.4374974","1359.02544951","1483.96955727","1441.55103149","1556.31090911","1613.37513956","1401.97447677","1323.11680312","","",
"Argentina","ARG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705.19932091","671.52943936","223.37970794","261.48966477","299.62794417","390.99110122","448.41903221","552.24465572","693.85599903","742.70240609","890.96483114","1068.38035659","1161.00206098","1207.89808581","1086.72728396","1298.68316327","955.2009489","","",
"Armenia","ARM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.51081677","45.38831224","44.57370232","52.18970268","98.0726002","115.63644842","120.59915252","170.91263774","174.30584603","140.38217449","169.42145503","133.22313771","247.31892636","317.85873812","406.59374912","366.04924783","358.84174796","","",
"American Samoa","ASM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383.91516097","412.56832564","409.55230205","435.74927097","427.58677499","518.43545709","590.43134587","667.8933148","724.27766043","593.2349555","663.52612617","680.12942986","644.41809529","655.9971646","749.63864839","644.14005707","623.11462593","","",
