"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.662","66.074","66.444","66.787","67.113","67.435","67.762","68.095","68.436","68.784","69.14","69.498","69.851","70.191","70.519","70.833","71.14","71.441","71.736","72.023","72.293","72.538","72.751","72.929","73.071","73.181","73.262","73.325","73.378","73.425","73.468","73.509","73.544","73.573","73.598","73.622","73.646","73.671","73.7","73.738","73.787","73.853","73.937","74.038","74.156","74.287","74.429","74.576","74.725","74.872","75.016","75.158","75.299","75.44","75.582","75.725","75.867","76.01","",
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.292","32.742","33.185","33.624","34.06","34.495","34.928","35.361","35.796","36.234","36.678","37.128","37.587","38.056","38.54","39.039","39.556","40.092","40.65","41.234","41.853","42.513","43.217","43.963","44.747","45.566","46.417","47.288","48.164","49.028","49.856","50.627","51.331","51.968","52.539","53.055","53.533","53.997","54.468","54.959","55.482","56.044","56.637","57.25","57.875","58.5","59.11","59.694","60.243","60.754","61.226","61.666","62.086","62.494","62.895","63.288","63.673","64.047","",
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","33.251","33.573","33.914","34.272","34.645","35.031","35.426","35.828","36.234","36.64","37.047","37.46","37.878","38.297","38.712","39.11","39.478","39.81","40.099","40.344","40.546","40.71","40.848","40.97","41.085","41.193","41.292","41.382","41.471","41.572","41.696","41.855","42.06","42.329","42.677","43.125","43.695","44.385","45.192","46.105","47.113","48.2","49.341","50.508","51.676","52.833","53.974","55.096","56.189","57.231","58.192","59.042","59.77","60.373","60.858","61.241","61.547","61.809","",
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.279","63.298","64.187","64.911","65.461","65.848","66.108","66.302","66.485","66.687","66.933","67.235","67.58","67.951","68.341","68.734","69.108","69.447","69.741","69.99","70.207","70.416","70.635","70.876","71.134","71.388","71.605","71.76","71.843","71.86","71.836","71.803","71.802","71.86","71.992","72.205","72.495","72.838","73.208","73.588","73.955","74.286","74.575","74.82","75.028","75.217","75.418","75.656","75.943","76.281","76.652","77.031","77.389","77.702","77.963","78.174","78.345","78.495","",
"Andorra","AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.8014815813678","47.3854120501864","47.9683122139438","48.5537996369821","49.1432906024403","49.7313888529205","50.3093408008617","50.870307823662","51.4141410632373","51.9462539803902","52.4775760496824","53.0230413855834","53.593371333259","54.1888448354903","54.8042651819552","55.4297680539027","56.0535796602899","56.6660088814575","57.2661442464377","57.8630195580977","58.4684089655453","59.0949064111187","59.7468542055425","60.4184467736795","61.0951493038324","61.7553304842296","62.3775749394762","62.9474253719444","63.4571433016783","63.9080348673461","64.3434562726656","64.713626830804","65.0100485686005","65.373600230934","65.7404975719579","66.149506804725","66.5067752162672","66.8476315932297","67.1637857439307","67.4548230808308","67.7240118245692","67.9767528246495","68.2210764813054","68.4648147397764","68.7124176981728","68.963024519796","69.2133314196132","69.4545305305039","69.6796303728282","69.8850997065308","70.0737747387598","70.2543871810887","70.4362372114167","70.6250966080498","70.8205449472615","71.0218536855315","71.2269084515168","71.4331225154426","",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.265","53.312","54.349","55.375","56.385","57.374","58.33","59.248","60.12","60.945","61.721","62.451","63.143","63.802","64.433","65.037","65.617","66.171","66.701","67.209","67.696","68.163","68.611","69.04","69.452","69.845","70.219","70.575","70.913","71.234","71.541","71.837","72.122","72.401","72.674","72.943","73.21","73.473","73.732","73.987","74.239","74.487","74.73","74.968","75.2","75.422","75.632","75.828","76.012","76.183","76.344","76.498","76.648","76.798","76.948","77.101","77.256","77.412","",
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.022","65.141","65.233","65.311","65.388","65.481","65.603","65.76","65.953","66.184","66.449","66.74","67.044","67.349","67.652","67.95","68.248","68.549","68.856","69.164","69.464","69.746","70.003","70.234","70.438","70.623","70.797","70.971","71.155","71.352","71.565","71.79","72.023","72.256","72.489","72.719","72.947","73.173","73.397","73.618","73.832","74.039","74.236","74.424","74.603","74.775","74.941","75.105","75.268","75.431","75.595","75.761","75.926","76.089","76.252","76.415","76.577","76.738","",
"Armenia","ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.971","66.402","66.837","67.276","67.715","68.152","68.587","69.015","69.425","69.808","70.143","70.411","70.604","70.723","70.774","70.783","70.783","70.798","70.838","70.897","70.938","70.91","70.776","70.519","70.15","69.698","69.205","68.732","68.332","68.038","67.879","67.87","67.99","68.218","68.538","68.938","69.404","69.912","70.434","70.944","71.409","71.8","72.112","72.347","72.512","72.625","72.715","72.815","72.946","73.119","73.331","73.571","73.814","74.044","74.255","74.445","74.618","74.782","",
"American Samoa","ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.115","62.555","62.979","63.385","63.774","64.148","64.51","64.864","65.212","65.557","65.897","66.232","66.558","66.875","67.181","67.479","67.768","68.051","68.328","68.602","68.873","69.141","69.408","69.671","69.931","70.187","70.435","70.675","70.907","71.132","71.351","71.567","71.783","71.999","72.218","72.44","72.663","72.887","73.108","73.327","73.541","73.752","73.957","74.158","74.354","74.544","74.727","74.905","75.078","75.247","75.412","75.574","75.733","75.892","76.05","76.207","76.364","76.519","",
"Australia","AUS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.8170731707317","70.9731707317073","70.9424390243903","70.9117073170732","70.8809756097561","70.850243902439","70.819512195122","70.8692682926829","70.9190243902439","70.9687804878049","71.0185365853659","71.0682926829268","71.4575609756098","71.8468292682927","72.2360975609756","72.6253658536586","73.0146341463415","73.3443902439024","73.6741463414634","74.0039024390244","74.3336585365854","74.6634146341463","74.9048780487805","75.1463414634146","75.3878048780488","75.6292682926829","75.8707317073171","76.1517073170732","76.4326829268293","76.7136585365854","76.9946341463415","77.2756097560976","77.3780487804878","77.8780487804878","77.8780487804878","77.8292682926829","78.0780487804878","78.4804878048781","78.6317073170732","78.9317073170732","79.2341463414634","79.6341463414634","79.9365853658537","80.2390243902439","80.490243902439","80.8414634146341","81.0414634146342","81.2926829268293","81.3951219512195","81.5439024390244","81.6951219512195","81.8951219512195","82.0463414634146","82.1487804878049","82.3","82.4","82.4487804878049","82.4975609756098","",
"Austria","AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","68.5856097560976","69.5773170731707","69.309512195122","69.4436585365854","69.9219512195122","69.7221951219512","70.0458536585366","69.9178048780488","70.0575609756098","69.8331707317073","69.9146341463415","70.1146341463415","70.4634146341463","71.0146341463415","71.0121951219512","71.1146341463415","71.5658536585366","71.9146341463415","72.0121951219512","72.3121951219512","72.4634146341463","72.8121951219512","72.9609756097561","73.0121951219512","73.6121951219512","73.8146341463415","74.3170731707317","74.7682926829268","75.2170731707317","75.2658536585366","75.5682926829269","75.6170731707317","75.8170731707317","76.0682926829268","76.419512195122","76.6682926829268","76.8707317073171","77.319512195122","77.6707317073171","77.8756097560976","78.1268292682927","78.5756097560976","78.6780487804878","78.6317073170732","79.1804878048781","79.3317073170732","79.8804878048781","80.1804878048781","80.4317073170732","80.3317073170732","80.5804878048781","80.9829268292683","80.9365853658537","81.1365853658537","81.490243902439","81.190243902439","81.6414634146342","81.6414634146342","",
"Azerbaijan","AZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.035","61.257","61.47","61.679","61.89","62.104","62.322","62.539","62.751","62.953","63.141","63.31","63.457","63.583","63.688","63.776","63.852","63.922","63.992","64.069","64.161","64.28","64.424","64.587","64.759","64.913","65.016","65.053","65.021","64.935","64.827","64.745","64.731","64.81","64.991","65.256","65.573","65.899","66.207","66.491","66.763","67.054","67.391","67.791","68.249","68.75","69.269","69.774","70.238","70.646","70.987","71.26","71.478","71.656","71.8","71.921","72.026","72.123","",
"Burundi","BDI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","41.281","41.592","41.907","42.225","42.54","42.838","43.103","43.328","43.515","43.675","43.829","44.006","44.232","44.517","44.865","45.266","45.701","46.141","46.562","46.953","47.314","47.657","47.992","48.317","48.618","48.845","48.941","48.884","48.684","48.379","48.053","47.816","47.752","47.911","48.295","48.86","49.526","50.186","50.758","51.213","51.545","51.779","51.977","52.19","52.437","52.735","53.09","53.492","53.926","54.386","54.861","55.338","55.807","56.259","56.688","57.094","57.481","57.857","",
"Belgium","BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.7019512195122","70.5209756097561","70.219512195122","70.0514634146342","70.7551219512195","70.6253658536586","70.7063414634146","71.0129268292683","70.6931707317073","70.7648780487805","70.9719512195122","71.0604878048781","71.4051219512195","71.6353658536586","71.9858536585366","71.9712195121951","72.119756097561","72.7739024390244","72.6980487804878","73.1936585365854","73.2070731707317","73.6217073170732","73.8880487804878","73.8690243902439","74.4048780487805","74.520243902439","74.7317073170732","75.3658536585366","75.5658536585366","75.6326829268293","76.0519512195122","76.1921951219512","76.3512195121951","76.3453658536585","76.6917073170732","76.8407317073171","77.1873170731707","77.3707317073171","77.4731707317073","77.619512195122","77.7219512195122","77.9731707317073","78.0756097560976","78.1292682926829","78.8780487804878","78.9804878048781","79.380487804878","79.7829268292683","79.6804878048781","80.0341463414634","80.1829268292683","80.5853658536585","80.3853658536585","80.5878048780488","81.2878048780488","80.9926829268293","81.4390243902439","81.4390243902439","",
"Benin","BEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","37.271","37.727","38.188","38.655","39.13","39.615","40.109","40.61","41.117","41.63","42.152","42.684","43.229","43.781","44.337","44.882","45.399","45.883","46.335","46.764","47.19","47.643","48.145","48.71","49.339","50.034","50.79","51.581","52.372","53.132","53.812","54.366","54.776","55.042","55.174","55.203","55.17","55.133","55.139","55.218","55.391","55.668","56.025","56.436","56.887","57.355","57.817","58.255","58.654","59.009","59.319","59.595","59.855","60.113","60.373","60.639","60.907","61.171","",
