"","id","price","title","body","lat","long","posted","updated","header","file","bedrooms","bath","sqft"
"_eby_apa_d_1-2-mth-free-unfurnished-modern-3bd_6809166875.html","6809166875",6500,"$6500 / 3br - 1900ft2 - 1/2 MTH FREE! Unfurnished modern 3bd+/3bth ++ Home in Serene Setting (berkeley north / hills)","
            QR Code Link to This Post
            
        
1/2 MONTH FREE RENT FOR IMMEDIATE MOVE-IN (Lease through June 30, 2020)!  
Contemporary, well appointed 3 bedroom/3 bathroom ++ home in the Berkeley Hills.  About 2,000 square feet of usable space, this home is nestled in serene setting surrounded by lush zen-like garden. Includes tastefully designed kitchen, 2 master suites open to backyard, with walk-through master closet, office space/den or workout room.  Finished garage can be used as a guest room. The home is on the 65 bus line, close to Rose Garden, Gourmet Ghetto, Solano Avenue, and one mile from the north entrance of the UC Berkeley campus.  Easy access to downtown and North Berkeley BART stations.
All Anderson Windows and French Doors -- double pane, energy efficient.  Wood floors throughout; bamboo and maple upstairs and European oak waxed floors downstairs.  Outdoor shed measuring 10 x 8 x 6 for storing sports equipment, tools, etc. 
Street parking is always available; Very safe neighborhood! The house is extremely private with bamboo hedges blocking the house from the street, very quiet.
Pets will be considered case by case, with additional deposit.  
Showing available now, by appointment only.
Lease Term: until June 30, 2020. Open to longer term lease.    ",37.894549,-122.263756,"2019-02-01T09:54:18-0800","2019-02-05T06:50:49-0800","3BR / 3Ba","_eby_apa_d_1-2-mth-free-unfurnished-modern-3bd_6809166875.html",3,3,1900
"_eby_apa_d_1-bedroom-pet-friendly-building-1461_6817699544.html","6817699544",1795,"$1795 / 1br - 1 bedroom Pet-friendly Building! 1461 Alice St #105 (oakland lake merritt / grand)","
            QR Code Link to This Post
            
        
1461 Alice Street #105, Oakland, CA
Open House:

Leasing Agent: Meike Matarazzo  
 Contact us at:  show contact info
OR  show contact info
 OR Text Meike at:  show contact info

Landmark Building
Building Size: 96 units
On-site laudry
On-site resident manager
Two Elevators (one passenger, one freight)
Lobbywith marble and multiple seating areas
 
Amenities

 Cherry Cabinets
 Hardwood floors
 Tile Bathroom
 Granite Kitchen Counter
 Tile Kitchen
 Breakfast bar
 Storage loft
 Dishwasher
 Smoke free unit
 Not rent controlled

Walk Score: 98 out of 100. 
This location is a Walker's Paradise so daily errands do not require a car. 
Public Transportation
Greyhound Bus Station: less than 5 minutes

BART Stations: 12th Street Oakland City Center Station - 5 minutes; 19th St Station - 9 minutes
BART provides easy access to the Embarcadero, Berkeley, Oakland, the San Francisco International Airport, as far South as Fremont, etc. 
Food and Drinks Nearby:

Coffee Shops: Awaken Cafe, and Shooting Star Coffee Shop

Restaurants: Spice Monkey, The Terrace Room, Golden Lotus

Bars:  Halftime Sports Bar, Ruby Room, Mad Oak Bar
Lease Terms
Application Fully Completed
Two most recent bank statements
Two most recent pay stubs
Positive rental and credit history (minimum 600 credit score required)
$35 application fee per applicant/guarantor
Gross monthly income = 3 times the rent
Verifiable funds (bank balance) = 3 times the rent

1461 Alice St. is near Lake Merrit,  12th Street Oakland City Center, 

There are excellent bike lanes and the terrain is flat as a pancake. The streets around 1461 Alice St. Oakland CA is a Biker's Paradise, daily errands can be accomplished on a bike.
    ",37.803334,-122.266724,"2019-02-12T10:14:49-0800","2019-02-12T10:14:50-0800","1BR / 1Ba","_eby_apa_d_1-bedroom-pet-friendly-building-1461_6817699544.html",1,1,NA
"_eby_apa_d_1-bedroom-pet-friendly-building-1461_6817715072.html","6817715072",1995,"$1995 / 1br - 1 bedroom Pet-friendly Building! 1461 Alice St #1457 (oakland lake merritt / grand)","
            QR Code Link to This Post
            
        
1461 Alice Street #1457, Oakland, CA (apartment is not furnished)
Open House:
Leasing Agent: Meike Matarazzo  
 Contact us at:  show contact info
OR  show contact info
 OR Text Meike at:  show contact info

Landmark Building
Building Size: 96 units
On-site laudry
On-site resident manager
Two Elevators (one passenger, one freight)
Lobbywith marble and multiple seating areas
 
Amenities

 Cherry Cabinets
 Hardwood floors
 Tile Bathroom
 Granite Kitchen Counter
 Tile Kitchen
 Breakfast bar
 Storage loft
 Dishwasher
 Smoke free unit
 Not rent controlled

Walk Score: 98 out of 100. 
This location is a Walker's Paradise so daily errands do not require a car. 
Public Transportation
Greyhound Bus Station: less than 5 minutes

BART Stations: 12th Street Oakland City Center Station - 5 minutes; 19th St Station - 9 minutes
BART provides easy access to the Embarcadero, Berkeley, Oakland, the San Francisco International Airport, as far South as Fremont, etc. 
Food and Drinks Nearby:

Coffee Shops: Awaken Cafe, and Shooting Star Coffee Shop

Restaurants: Spice Monkey, The Terrace Room, Golden Lotus

Bars:  Halftime Sports Bar, Ruby Room, Mad Oak Bar
Lease Terms
Application Fully Completed
Two most recent bank statements
Two most recent pay stubs
Positive rental and credit history (minimum 600 credit score required)
$35 application fee per applicant/guarantor
Gross monthly income = 3 times the rent
Verifiable funds (bank balance) = 3 times the rent

1461 Alice St. is near Lake Merrit,  12th Street Oakland City Center, 

There are excellent bike lanes and the terrain is flat as a pancake. The streets around 1461 Alice St. Oakland CA is a Biker's Paradise, daily errands can be accomplished on a bike.
    ",37.803334,-122.266724,"2019-02-12T10:29:31-0800","2019-02-12T10:35:29-0800","1BR / 1Ba","_eby_apa_d_1-bedroom-pet-friendly-building-1461_6817715072.html",1,1,NA
"_eby_apa_d_1-br-1-ba-berkeley-available-now_6817370571.html","6817370571",2200,"$2200 / 1br - 1 BR / 1 BA Berkeley, Available Now - Sacramento St & Derby (berkeley)","
            QR Code Link to This Post
            
        
Location: 2675 Sacramento St., Berkeley, CA 94702
Close to schools, U. C. Campus, Buses, and BART Station.
Move-in: First and last months rent + security deposit of $ 2,200.00.
* Granite Kitchen Counters
* Hardwood Floor
* Tile Floor (Kitchen)
* Gas Stove
* Gas Heater
* Plenty of closet space
* Tenant pays for all utilities except for garbage and recycling collection
* Natural Lighting
* Private Back Yard
* One year lease minimum
* Well-behaved, small pets will be considered
+HassleFree furnished option available (additional fees apply)
Please call Mr. Norman Lam to schedule an appointment to view the apartment at  show contact info
.    ",37.857026,-122.28008,"2019-02-11T22:20:53-0800","2019-02-12T15:28:04-0800","1BR / 1Ba","_eby_apa_d_1-br-1-ba-berkeley-available-now_6817370571.html",1,1,NA
"_eby_apa_d_1-br-with-parking-near-downtown_6814999655.html","6814999655",1950,"$1950 / 1br - 500ft2 - 1 br with parking near Downtown Berkeley bart (berkeley)","
            QR Code Link to This Post
            
        
Clean 1 Bedroom / 1 bath with hardwood floors in an 8 unit building. Newer kitchen and bath. Unit is on second floor facing MLK. One parking space and water and garbage included. Washer and dryer on premises. Walking distance to UC Campus, BART, YMCA, Library, post office and shops.
Address is 2430 MLK Jr. Way, #7, Berkeley
Open house Saturday, February 8th from 11:00am to 11:30am.
Please contact Pauline at  show contact info
 or  show contact info
 for more information. 
Have a nice day! ",37.8664,-122.257,"2019-02-08T16:37:38-0800",NA,"1BR / 1Ba","_eby_apa_d_1-br-with-parking-near-downtown_6814999655.html",1,1,500
"_eby_apa_d_1-mth-free-unfurnished-modern-3bd-3bth_6814991144.html","6814991144",6500,"$6500 / 3br - 1900ft2 - 1 MTH FREE*! Unfurnished modern 3bd+/3bth ++ Home in Serene Setting (berkeley north / hills)","
            QR Code Link to This Post
            
        
1 MONTH FREE RENT* FOR IMMEDIATE MOVE-IN in March (Lease through July 15, 2020). 
Contemporary, well appointed 3 bedroom/3 bathroom ++ home in the Berkeley Hills.  About 2,000 square feet of usable space, this home is nestled in serene setting surrounded by lush zen-like garden. Includes tastefully designed kitchen, 2 master suites open to backyard, with walk-through master closet, office space/den or workout room.  Finished garage can be used as a guest room. The home is on the 65 bus line, close to Rose Garden, Gourmet Ghetto, Solano Avenue, and one mile from the north entrance of the UC Berkeley campus.  Easy access to downtown and North Berkeley BART stations.
All Anderson Windows and French Doors -- double pane, energy efficient.  Wood floors throughout; bamboo and maple upstairs and European oak waxed floors downstairs.  Outdoor shed measuring 10 x 8 x 6 for storing sports equipment, tools, etc. 
Street parking is always available; Very safe neighborhood! The house is extremely private with bamboo hedges blocking the house from the street, very quiet.
Pets will be considered case by case, with additional deposit.  
Showing available now, by appointment only.
Lease Term: until July 15, 2020. Open to longer term lease.
*1 month free rent applies to the last month of the Lease.",37.894549,-122.263756,"2019-02-08T16:24:58-0800","2019-02-12T15:57:01-0800","3BR / 3Ba","_eby_apa_d_1-mth-free-unfurnished-modern-3bd-3bth_6814991144.html",3,3,1900
"_eby_apa_d_1ba-spacious-apt-in-great-area-private_6807929183.html","6807929183",2295,"$2295 / 2br - 700ft2 - 1ba-Spacious Apt in Great Area w/Private YARD, parking, many upgrades! (albany / el cerrito)","
            QR Code Link to This Post
            
        
Hi!
This clean, well maintained 2br/1ba unit has large bedrooms with ample closet space with an amazingly huge and rare private yard!  It is move-in ready and available immediately.  We are requesting a minimum 1 year lease, good credit, with a security deposit of $2295.  Some additional features of the apartment include:
Lower unit with great natural light
Wall to wall carpeting with nice flooring in kitchen
Granite Kitchen counters w/ convenient Dining area
Cable Ready
Dual Paned Windows
Covered Carport Parking (Assigned)
On-Site Laundry
Frost free Fridge
Near Shopping (EC Plaza), Bart and other transportation
5-unit building with onsite owner/manager
Other Terms:
Water and Garbage is included
No Smoking inside unit
Sorry no pets
Please email us a brief description of you and your living situation.  Also feel free to include any questions or would like to schedule an appointment to take a look at this nice apartment.
thanks!",37.918032,-122.310469,"2019-01-30T16:26:46-0800","2019-02-08T12:23:49-0800","2BR / 1Ba","_eby_apa_d_1ba-spacious-apt-in-great-area-private_6807929183.html",2,1,700
"_eby_apa_d_2-bed-2-bath-in-great-location-dont_6813099037.html","6813099037",4200,"$4200 / 2br - 1047ft2 - 2 Bed 2 Bath In A Great Location! Don't Miss Out! (oakland downtown)","
            QR Code Link to This Post
            
        
Brand new boutique style apartments in Oakland, CA Welcome to Maxwell Oakland Luxury ApartmentsAt Maxwell, no detail has been spared to deliver a new and truly luxurious lifestyle. Along with a highly walkable location offering a Walk ScoreÃ¢ÂÂ¢ of 96 that places you at the center of fine dining and shopping, the 19th Street BART station, and vibrant Uptown Oakland, the community offers amenities that set it apart from other properties in the area.Sophistication Meets ConvenienceHere you'll find in-home features like oversized walk-in closets, modern European kitchens, wood-grain flooring, stainless steel appliances, floating vanities in the bathrooms, NEST thermostats, expansive living rooms and dining rooms, and top-level Oakland luxury apartments with exceptional city views of downtown. We're pet-friendly, too!Premium Community AmenitiesOur community amenities here include social courtyards, barbecue grills, a community lounge, free Wi-Fi in community areas, a state-of-the-art fitness center with yoga equipment, and a fantastic private pet deck. With so many outstanding features and amenities, it's no wonder that so many residents love to call our Oakland luxury apartments their home. See for yourself everything Maxwell has to offer!Contact our friendly staff to arrange for a personal tour and to check availability today.  Call Now:  show contact info
Need more information? Copy this link:http://live.fpimgt.com/s6s5mp This is a 2 Bedroom, 2 Bath, approximately 1047 Sq. Ft. Features - Upgraded Berber carpeted bedrooms  - Modern roller shade window coverings  - Floating bathroom vanities with under mounted sink  - Caesar stone styled counters with tile backsplash, under-mount stainless steel sink, and pendant lighting  - Upgraded plumbing fixtures  - Wood grain-style flooring throughout living space  - Private patio or balcony  - Whirlpool stainless steel and energy-efficient appliances  - Euro-style, high-gloss kitchen cabinetry offered in two designer color schemes with slow-close drawers  - In-home Washer & Dryer  - Smart home enhancements including Nest ThermostatÃÂ® and USB charging port  - Air conditioning and heating in every-home  - Wood grain-style flooring throughout living space  - Expansive floor-to-ceiling windows  - Oakland and San Francisco skyline views*  - Spacious walk-in closets*  - Fiber-optic enabled homes providing fastest Internet connection in Oakland  - Soaking tub *In Select Homes Community Amenities - Communicate with on-site management  - Submit work orders  - Restaurant table reservations  - Doorstep trash pickup  - Housekeeping scheduling  - Easy access to Interstate 980, 880, 580 and 80.  - State of the art fitness center  - Outdoor patio with BBQ grill and seating  - Nearby fine dining, concert venues, and social lounges.  - Dry cleaning scheduling  - 24/7 Package lockers  - On-line rent payments  - Accent walls options  - Furniture rental available*  - Walking distance to 19th street BART station  - Access-controlled community  - Game room  - 96 Walk Score  - Resident social lounge  - Pet-friendly with no weight limits  - Bike maintenance work station and storage  - 100% Smoke-free community  - Planned resident networking events  - Private pet patio with pet waste station Pet Policy We welcome pets one year or older of all shapes and sizes with no weight limit. $500 deposit is required per pet and $50 monthly pet rent per pet. Breed restrictions do apply. Two pets maximum per home.*Breed Restrictions:(or any hybrid or mixed breed) Akita, American Bull Dog, Boxer, Cane Corsos,, Chowchows, Dobermans, Dalmatian, German Shepherds, Great Danes, Huskies, Karelian Bear Dog, Malamutes, Mastiff, Pit Bulls, Presa Canario, Rottweilers, St. Bernard, Staffordshire Terriers, any Wolf Hybrid. Poisonous Animals: Piranhas or Tarantulas.Exotic Animals: Birds (Cockatiels, Parrots & Macaws), Ferrets, Raccoon's, Reptiles (Snakes and Iguanas), Rabbits, Squirrels, and Skunks. Income Requirements: All household must have verifiable gross income that at the least 2.5 monthly rent amount. Income must be legal and verifiable. Written verification and proof of all income include, but is not limited to, current and consecutive pay stubs, social security or other retirement income, verification or welfare, disability, or SSI, income tax returns, unemployment benefits, workers compensation payments, bank statements, and trust accounts. Application not meeting the income-to- rent ratio may be required to pay an increase to the security deposit or obtain a co-signer.Office Hours Monday-Saturday:9:00AM-6:00PM Maxwell 1801 Jefferson St STE 100, Oakland, CA, 94612Equal Housing Opportunity H9XxOUNAtjr5    ",37.808258,-122.273315,"2019-02-06T11:20:28-0800",NA,"2BR / 2Ba","_eby_apa_d_2-bed-2-bath-in-great-location-dont_6813099037.html",2,2,1047
"_eby_apa_d_2-bed-2-bath-new-remodel-on-temescal_6817697003.html","6817697003",3185,"$3185 / 2br - 910ft2 - 2 bed, 2 bath -- New remodel on Temescal / Rockridge / Bushrod Borders (oakland north / temescal)","
            QR Code Link to This Post
            
        
Available March 1.  
Newly renovated 2 bedroom, 2 bathroom in incredibly convenient location.  About 910 sf.  Owner lives in the building so everything is well maintained.  Open kitchen is completely refinished.  Washer-Dryer in unit. Dishwasher, garbage disposal.  Back yard area with shared patio (anyone can use it) and garden boxes for small gatherings, hanging out, etc.
Walking distance to Rockridge.  Also walking distance to downtown Temescal and all the shops on Telegraph Ave.  3 nearby BARTs makes getting into SF easy; bikeable to downtown Oakland or Berkeley.  Direct access to highways makes it really easy to get around.  Perhaps best of all, it is one block from both Bushrod Park and Dover Park.
Very easy parking.  Always spots available and no permits required.
Perfect for couples, roommates (2 bathrooms!), young families (both parks have great playgrounds and amenities).
Pets allowed.  Water is not separately metered, so $30/month/adult charge not included in rent.
$3200.    ",37.843726,-122.26548,"2019-02-12T10:12:31-0800",NA,"2BR / 2Ba","_eby_apa_d_2-bed-2-bath-new-remodel-on-temescal_6817697003.html",2,2,910
"_eby_apa_d_2-bed-2ba-15-garage-nice-east-bay-condo_6817221879.html","6817221879",2445,"$2445 / 2br - 1200ft2 - 2 bed/2Ba w/ 1.5 Garage Nice East Bay condo (oakland hills / mills)","
            QR Code Link to This Post
            
        
1200 sqft - 
2 private bedrooms- 2 bathroom - Tub and Shower in each 
- master bedroom has big walk
In Closet
secondary bedroom- deepWall Closet 
A chefs galley kitchen / Dining Area.
Sliding glass door leads out to patio yard area 
Light and bright Living room 
Lots of storage in unit.
Private gated Back yard and patio areas. 
1.5 attached Garage 
Laundry hook ups in garage 
Ground level Condo
Nice friendly condo community 
Additional parking on site available
$2495 month. 
A security deposit and 1st months rent on move in. 
. 
Must have verifiable income 
1- 2 verifiable pay stubs
2- Bring verifiable ID 
3- Quick application process w/ application fee. 
4- preference to good credit -however, foreclosure ok - will work with credit issues 
- must be employed /or have income verification 
- roommate living welcomed 
- students welcomed
- great BayArea Relocation 
-  will consider Insurance vouchers with Verification 
Avail in January 2019 
Need to Move soon-? Yes- we can assist you ! 
Yes- we can process your application as a rush. 
Condo  # 10 Available soon ! 
Location- Off MacArthur Blvd--- 
Turn in to street between units- unit 10 is on right. 
- Nice renovation in progressive area- new kitchen paint- new flooring , new carpets being installed. Big bathrooms with natural light window. 
Fwy close - walk to to Transit center, Bart,- a short drive to OAKLAND Airport 
Close drive to Mills College, UC Berkeley and Bay Area Technology companies! 
Easy commute to San Francisco by Bart or car! 
Great East Bay shopping, cafes, cultural events, libraries, theaters, Museums, and year round recreation. Very cool friendly community. 
This is a 1st floor unit in one condo building of 3 units. Not wheelchair accessible( 2 steps up to doors) 
A Pet may be considered. 
Utilities ( gas & Electric) run @ 58 mo Water included in rent. 
Email for further information.
Happy Holidays Ã°ÂÂÂ¿",37.772335,-122.176992,"2019-02-11T16:27:43-0800",NA,"2BR / 2Ba","_eby_apa_d_2-bed-2ba-15-garage-nice-east-bay-condo_6817221879.html",2,2,1200
