chamber,session,roll call,member,vote
House,1,87,A000374,No
House,1,87,A000370,Yes
House,1,87,A000055,No
House,1,87,A000371,Yes
House,1,87,A000372,No
House,1,87,A000376,Not Voting
House,1,87,A000367,No
House,1,87,A000369,Yes
House,1,87,A000377,Yes
House,1,87,A000375,No
House,1,87,A000378,Yes
House,1,87,B001291,No
House,1,87,B001298,Yes
House,1,87,B001307,No
House,1,87,B001306,Yes
House,1,87,B001299,No
House,1,87,B001282,Yes
House,1,87,B001300,Yes
House,1,87,B001270,Yes
House,1,87,B001281,Yes
House,1,87,B001287,Yes
House,1,87,B001301,Yes
House,1,87,B001292,Yes
House,1,87,B001302,No
House,1,87,B001257,No
House,1,87,B000490,Yes
House,1,87,B001250,Yes
House,1,87,B000574,Yes
House,1,87,B001303,Yes
House,1,87,B001278,Yes
House,1,87,B001295,Yes
House,1,87,B001296,Yes
House,1,87,B000755,No
House,1,87,B001308,Yes
House,1,87,B001274,No
House,1,87,B001284,Yes
House,1,87,B001304,Yes
House,1,87,B001285,Yes
House,1,87,B001260,Yes
House,1,87,B001297,No
House,1,87,B001275,No
House,1,87,B001305,No
House,1,87,B001309,No
House,1,87,B001248,No
House,1,87,B001286,Yes
House,1,87,B001251,Yes
House,1,87,B001289,No
House,1,87,C000059,Yes
House,1,87,C001112,Yes
House,1,87,C001097,Yes
House,1,87,C001072,Yes
House,1,87,C001103,No
House,1,87,C001051,Yes
House,1,87,C001090,Yes
House,1,87,C001055,Yes
House,1,87,C001117,Yes
House,1,87,C001066,Yes
House,1,87,C001091,No
House,1,87,C000266,No
House,1,87,C001109,Yes
House,1,87,C001080,Yes
House,1,87,C001084,Yes
House,1,87,C001123,Yes
House,1,87,C001101,Yes
House,1,87,C001067,No
House,1,87,C001049,Yes
House,1,87,C001061,Yes
House,1,87,C001118,No
House,1,87,C001115,No
House,1,87,C000537,Yes
House,1,87,C001068,Yes
House,1,87,C001053,Yes
House,1,87,C001093,No
House,1,87,C001092,Yes
House,1,87,C001108,No
House,1,87,C001062,Yes
House,1,87,C001078,Yes
House,1,87,C001094,Yes
House,1,87,C000754,Yes
House,1,87,C001110,No
House,1,87,C001059,Yes
House,1,87,C001069,Yes
House,1,87,C001124,Yes
House,1,87,C001119,Yes
House,1,87,C001087,No
House,1,87,C001120,No
House,1,87,C001111,Yes
House,1,87,C001121,Yes
House,1,87,C001063,Yes
House,1,87,C000984,Yes
House,1,87,C001122,Yes
House,1,87,C001114,No
House,1,87,D000629,Yes
House,1,87,D000626,No
House,1,87,D000598,Yes
House,1,87,D000096,Yes
House,1,87,D000619,Yes
House,1,87,D000631,Yes
House,1,87,D000191,Yes
House,1,87,D000197,Yes
House,1,87,D000216,Yes
House,1,87,D000617,Yes
House,1,87,D000630,Yes
House,1,87,D000627,Yes
House,1,87,D000623,Yes
House,1,87,D000616,No
House,1,87,D000610,Not Voting
House,1,87,D000600,Yes
House,1,87,D000624,Yes
House,1,87,D000399,No
House,1,87,D000482,Yes
House,1,87,D000614,No
House,1,87,D000615,No
House,1,87,D000628,No
House,1,87,E000294,Yes
House,1,87,E000179,Yes
House,1,87,E000299,No
House,1,87,E000215,Yes
House,1,87,E000297,No
House,1,87,E000298,No
House,1,87,E000296,Yes
House,1,87,F000465,Yes
House,1,87,F000467,Yes
House,1,87,F000466,Yes
House,1,87,F000459,Yes
House,1,87,F000468,Yes
House,1,87,F000461,Yes
House,1,87,F000449,Yes
House,1,87,F000454,Yes
House,1,87,F000450,Yes
House,1,87,F000462,Yes
House,1,87,F000455,Yes
House,1,87,F000469,Yes
House,1,87,G000571,Yes
House,1,87,G000578,Yes
House,1,87,G000579,No
House,1,87,G000574,Yes
House,1,87,G000559,Yes
House,1,87,G000586,No
House,1,87,G000587,No
House,1,87,G000584,Yes
House,1,87,G000563,Yes
House,1,87,G000552,No
House,1,87,G000592,Yes
House,1,87,G000585,No
House,1,87,G000588,Yes
House,1,87,G000581,No
House,1,87,G000589,No
House,1,87,G000565,No
House,1,87,G000583,Yes
House,1,87,G000377,Yes
House,1,87,G000560,No
House,1,87,G000577,No
House,1,87,G000546,No
House,1,87,G000590,No
House,1,87,G000553,Yes
House,1,87,G000568,No
House,1,87,G000551,No
House,1,87,G000576,No
House,1,87,G000591,Yes
House,1,87,G000558,Yes
House,1,87,H001080,Yes
House,1,87,H001088,Yes
House,1,87,H001090,Yes
House,1,87,H001052,No
House,1,87,H001053,No
House,1,87,H000324,Yes
House,1,87,H001081,Yes
House,1,87,H001064,Yes
House,1,87,H001082,No
House,1,87,H001056,Yes
House,1,87,H001071,No
House,1,87,H001077,No
House,1,87,H001038,Yes
House,1,87,H001072,Yes
House,1,87,H001087,Yes
House,1,87,H001047,Yes
House,1,87,H001065,No
House,1,87,H001074,No
House,1,87,H001083,Yes
House,1,87,H001066,Yes
House,1,87,H001085,Yes
House,1,87,H000874,Yes
House,1,87,H001067,No
House,1,87,H001068,Yes
House,1,87,H001058,No
House,1,87,H001048,No
House,1,87,H001073,Yes
House,1,87,J000032,Yes
House,1,87,J000298,No
House,1,87,J000294,Yes
House,1,87,J000288,Yes
House,1,87,J000299,No
House,1,87,J000292,Yes
House,1,87,J000301,Yes
House,1,87,J000126,Yes
House,1,87,J000289,No
House,1,87,J000295,Yes
House,1,87,J000302,No
House,1,87,K000009,Yes
House,1,87,K000386,Yes
House,1,87,K000375,Yes
House,1,87,K000385,Yes
House,1,87,K000388,No
House,1,87,K000376,No
House,1,87,K000379,Yes
House,1,87,K000389,Yes
House,1,87,K000380,Yes
House,1,87,K000381,Yes
House,1,87,K000394,Yes
House,1,87,K000188,Yes
House,1,87,K000362,No
House,1,87,K000210,Yes
House,1,87,K000378,Not Voting
House,1,87,K000368,Yes
House,1,87,K000391,Yes
House,1,87,K000382,Yes
House,1,87,K000392,Yes
House,1,87,L000585,No
House,1,87,L000578,Yes
House,1,87,L000588,Yes
House,1,87,L000564,No
House,1,87,L000559,Yes
House,1,87,L000560,Yes
House,1,87,L000557,Yes
House,1,87,L000566,No
House,1,87,L000581,Yes
House,1,87,L000586,Yes
House,1,87,L000551,Yes
House,1,87,L000590,Yes
House,1,87,L000589,No
House,1,87,L000593,Yes
House,1,87,L000592,Yes
House,1,87,L000287,Yes
House,1,87,L000582,Yes
House,1,87,L000563,Yes
House,1,87,L000565,Yes
House,1,87,L000397,Yes
House,1,87,L000576,No
House,1,87,L000583,No
House,1,87,L000579,Yes
House,1,87,L000480,Yes
House,1,87,L000491,Yes
House,1,87,L000569,Yes
House,1,87,L000570,Yes
House,1,87,L000591,Yes
House,1,87,L000562,Yes
House,1,87,M001203,Yes
House,1,87,M000087,Yes
House,1,87,M001185,Yes
House,1,87,M001158,No
House,1,87,M001198,No
House,1,87,M001184,No
House,1,87,M001199,No
House,1,87,M001163,Yes
House,1,87,M001209,Yes
House,1,87,M001208,Yes
House,1,87,M001165,Yes
House,1,87,M001157,Yes
House,1,87,M001177,No
House,1,87,M001143,Yes
House,1,87,M001200,Yes
House,1,87,M000312,Yes
House,1,87,M001156,Yes
House,1,87,M001180,Yes
House,1,87,M001166,Yes
House,1,87,M001187,No
House,1,87,M001137,Yes
House,1,87,M001188,Yes
